"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
№,,обозначение,Исполнительный механизм,Сигнал,тип,вх/вых,Вид сигнала,DI,DO,AI,AO,Интерфейс,"Устройств
с Интерфейсами",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,АСУ ТП ВК,Трубопроводы исходной воды,,Температура исходной воды,аналоговый,входящий,4-20мА,,,1,,,0,F0GAA01CT001,"=24В, 0,5ВА",,0,100,°C,,
,,,,Давление исходной воды,аналоговый,входящий,4-20мА,,,1,,,0,F0GAA01CP001,"=24В, 0,5ВА",,0,3,кгс/см²,,
,,,,Давление исходной воды до сетчатого фильтра,аналоговый,входящий,4-20мА,,,1,,,0,F0GAA01CP002,"=24В, 0,5ВА",,0,3,кгс/см²,,
,,,,Давление исходной воды после сетчатого фильтра,аналоговый,входящий,4-20мА,,,1,,,0,F0GAA01CP003,"=24В, 0,5ВА",,0,3,кгс/см²,,
,АСУ ТП ВК,Насосы сырой воды,,Давление сырой воды на всасе НСВ-1 (К5.1),аналоговый,входящий,4-20мА,,,1,,,0,F0GAF01CP001,-,,-1,3,кгс/см²,,
,,,,Давление сырой воды на напоре НСВ-1 (К5.1),аналоговый,входящий,4-20мА,,,1,,,0,F0GAF01CP002,-,,0,8,кгс/см²,,
,,,,Давление сырой воды на всасе НСВ-2 (К5.2),аналоговый,входящий,4-20мА,,,1,,,0,F0GAF02CP001,-,,-1,3,кгс/см²,,
,,,,Давление сырой воды на напоре НСВ-2 (К5.2),аналоговый,входящий,4-20мА,,,1,,,0,F0GAF02CP002,-,,0,8,кгс/см²,,
,,,,Давление исходной воды в трубопроводе байпаса насосов НСВ,аналоговый,входящий,4-20мА,,,1,,,0,F0GAF03CP001,"=24В, 0,5ВА",,0,3,кгс/см²,,
,,,,Давление исходной воды после насосов НСВ,аналоговый,входящий,4-20мА,,,1,,,0,F0GAF10CP001,"=24В, 0,5ВА",,0,8,кгс/см²,,
,,,,Температура подшипника №1 К5.1,аналоговый,входящий,R,,,1,,,0,F0GAF01CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К5.1,аналоговый,входящий,R,,,1,,,0,F0GAF01CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К5.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GAF01CE012,-,,0,250,А,,
,,,,Температура подшипника №1 К5.2,аналоговый,входящий,R,,,1,,,0,F0GAF02CT101,-,,0,150,°C,,
