№ п/п,Наименование параметра,Параметры питания датчика,KKS-код параметра,Предел измерений min,Предел измерений max,Ед. изм,Участие в задачах,Примечание
1,Положение ИМ регулирующей заслонки №1,,E1EKD01CG801,0,100.0,%,"АР, Р",
2,Давление после заслонки №1 (11а),,E1EKD01CP001,0,2.5,кгс/см²,"АР, Р",
3,Положение ИМ регулирующей заслонки №2,,E1EKD02CG801,0,100.0,%,"АР, Р",
4,Давление после заслонки №2 (12а),,E1EKD02CP001,0,2.5,кгс/см²,"АР, Р",
5,Давление на выходе ГРП-1 (13а),,E1EKG01CP001,0,2.5,кгс/см²,"ПС, ТЗ, Р",
6,Давление на входе ГРП-1 (14а),,E1EKA01CP001,0,6.0,кгс/см²,"ПС, ТЗ, Р",
7,Температура на выходе ГРП-1 (15а),,E1EKG01CT101,-50,200.0,°C,Р,
8,Температура на входе ГРП-1 (16а),,E1EKA01CT101,-50,200.0,°C,Р,
9,Давление до фильтра №1,"=24В, 0.5Вт",E1EKE10CP001,0,6.0,кгс/см²,ПС,
10,Давление после фильтра №1,"=24В, 0.5Вт",E1EKE10CP002,0,6.0,кгс/см²,ПС,
11,Положение ИМ регулирующего клапана ЗР-1,,E2EKD01CG801,0,100.0,%,"АР, Р",
12,Давление после клапана ЗР-1,"=24, 0,5Вт",E2EKD01CP001,0,2.5,кгс/см²,"АР, Р",
13,Положение ИМ регулирующего клапана ЗР-2,,E2EKD02CG801,0,100.0,%,"АР, Р",
14,Давление после клапана ЗР-2,"=24, 0,5Вт",E2EKD02CP001,0,2.5,кгс/см²,"АР, Р",
15,Давление на входе ГРП-2,"=24, 0,5Вт",E2EKA01CP001,0,10.0,кгс/см²,"ПС, ТЗ, Р",
16,Давление на выходе ГРП-2,"=24, 0,5Вт",E2EKG01CP001,0,2.5,кгс/см²,"ПС, ТЗ, Р",
17,Давление на выходе ГРП-2,"=24, 0,5Вт",E2EKG01CP002,0,2.5,кгс/см²,"ПС, ТЗ, Р",
18,Давление на выходе ГРП-2,"=24, 0,5Вт",E2EKG01CP003,0,2.5,кгс/см²,"ПС, ТЗ, Р",
19,Температура на входе в ГРП-2,,E2EKA01CT101,-50,305.0,°C,Р,
20,Температура на выходе ГРП-2,,E2EKG01CT101,-50,350.0,°C,Р,
21,Давление газа после регулятора (регулирование),"=24В, 0.5Вт",E2EKA02СР001,0,6.0,кгс/см²,"АР, Р",
22,Давление газа после регулятора,"=24В, 0.5Вт",E2EKA02СР002,0,6.0,кгс/см²,"ПС, Р",
23,Давление газа до регулятора,"=24В, 0.5Вт",E2EKA02СР003,0,10.0,кгс/см²,"ПС, Р",
24,Расход газа,,E2EKA02СF001,0,30000.0,м3/ч,Р,
25,Расход газа,,E2EKA02FF001,0,30000.0,м3/ч,Р,
26,Давление газа перед фильтром котла ст.№1,"=24, 0,5Вт",F1HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
27,Давление газа после фильтра котла ст.№1,"=24, 0,5Вт",F1HHG20СР002,0,2.5,кгс/см²,"ПС, Р",
28,Давление газа перед котлом ст.№1 до регулятора,"=24, 0,5Вт",F1HHG20СР003,0,2.5,кгс/см²,"ПС, Р",
29,Давление газа перед котлом ст.№1 после регулятора,"=24, 0,5Вт",F1HHG20СР004,0,1.0,кгс/см²,"АР, Р",
30,Положение ИМ регулирующей заслонки котла ст.№1,,F1HHG20CG801,0,100.0,%,"АР, Р",
31,Расход газа на горелку №1,,F1HHG01CF001,0,2500.0,м3/ч,Р,
32,Расход газа на горелку №2,,F1HHG02CF001,0,2500.0,м3/ч,Р,
33,Давление газа перед фильтром котла ст.№2,"=24, 0,5Вт",F2HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
34,Давление газа после фильтра котла ст.№2,"=24, 0,5Вт",F2HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
35,Давление газа перед котлом ст.№2 до регулятора,"=24, 0,5Вт",F2HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
36,Давление газа перед котлом ст.№2 после регулятора,"=24, 0,5Вт",F2HHG20СР001,0,1.0,кгс/см²,"АР, Р",
37,Положение ИМ регулирующей заслонки котла ст.№2,,F2HHG20CG801,0,100.0,%,"АР, Р",
38,Расход газа на горелку №1,,F2HHG01CF001,0,2500.0,м3/ч,Р,
39,Расход газа на горелку №2,,F2HHG02CF001,0,2500.0,м3/ч,Р,
40,Давление газа перед фильтром котла ст.№3,"=24, 0,5Вт",F3HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
41,Давление газа после фильтра котла ст.№3,"=24, 0,5Вт",F3HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
42,Давление газа перед котлом ст.№3 до регулятора,"=24, 0,5Вт",F3HHG20СР001,0,2.5,кгс/см²,"ПС, Р",
