№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
1,Регулирующая заслонка №1,E1EKD01AA801,Закрыто,E1EKD01AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
2,Регулирующая заслонка №1,E1EKD01AA801,Открыто,E1EKD01AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
3,Регулирующая заслонка №2,E1EKD02AA801,Закрыто,E1EKD02AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
4,Регулирующая заслонка №2,E1EKD02AA801,Открыто,E1EKD02AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
5,Задвижка 2-Г,E1EKA01AA001,Не открыто,E1EKA01AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
6,Задвижка 2-Г,E1EKA01AA001,Не закрыто,E1EKA01AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
7,Задвижка 2-Г,E1EKA01AA001,Превышение момента,E1EKA01AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
8,Задвижка 3-Г,E1EKG11AA001,Не открыто,E1EKG11AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
9,Задвижка 3-Г,E1EKG11AA001,Не закрыто,E1EKG11AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
10,Задвижка 3-Г,E1EKG11AA001,Превышение момента,E1EKG11AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
11,Дисковый затвор ГК-1,E1EKG12AA001,Открыто,E1EKG12AA001XB01,потенциальный контакт,"220В, 50Гц",ДУ,
12,Дисковый затвор ГК-1,E1EKG12AA001,Закрыто,E1EKG12AA001XB02,потенциальный контакт,"220В, 50Гц",ДУ,
13,Дисковый затвор ГК-1,E1EKG12AA001,Превышение момента,E1EKG12AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
14,Дисковый затвор ГК-1,E1EKG12AA001,Готовность,E1EKG12AA001XB10,потенциальный контакт,"220В, 50Гц",ДУ,
15,Сигнализатор газов СТМ-10,E1UEN01CQ001,"Загазованность в ГРП, 1 порог",E1UEN01CQ001XG01,сухой контакт,"220В, 50Гц",ПС,
16,Сигнализатор газов СТМ-10,E1UEN01CQ001,"Загазованность в ГРП, 2 порог",E1UEN01CQ001XG03,сухой контакт,"220В, 50Гц",,
17,Дифф. манометр электроконтактный Элемер- АИР-30,E1EKE01CP151,Засорение фильтра №1,E1EKE01CP151XG01,сухой контакт,"220В, 50Гц",ПС,
18,Дифф. манометр электроконтактный Элемер- АИР-30,E1EKE02CP151,Засорение фильтра №2,E1EKE02CP151XG01,сухой контакт,"220В, 50Гц",ПС,
19,Пожарная сигнализация,E1CYE01CH001,Пожар,E1CYE01CH001XM01,сухой контакт,=24В,ПС,
20,Шкаф сборки задвижек,E1CDA01GH002,Неисправность,E1CDA01GH002XM01,сухой контакт,"220В, 50Гц",ПС,
21,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Не открыто,E2EKD01AA801XC51,потенциальный контакт,=24В,"АР,ДУ",
22,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Не закрыто,E2EKD01AA801XC52,потенциальный контакт,=24В,"АР,ДУ",
23,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Неисправность,E2EKD01AA801ХС57,потенциальный контакт,=24В,ПС,
24,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Готовность,E2EKD01AA801ХС10,потенциальный контакт,=24В,"АР,ДУ",
25,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Автоматический выключатель отключен,E2EKD01AA801ХM01,сухой контакт,=24В,ПС,
26,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Не открыто,E2EKD02AA801XC51,потенциальный контакт,=24В,"АР,ДУ",
27,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Не закрыто,E2EKD02AA801XC52,потенциальный контакт,=24В,"АР,ДУ",
28,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Неисправность,E2EKD02AA801XC57,потенциальный контакт,=24В,ПС,
29,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Готовность,E2EKD02AA801XC10,потенциальный контакт,=24В,"АР,ДУ",
30,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Автоматический выключатель отключен,E2EKD02AA801XM01,сухой контакт,=24В,ПС,
31,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Не открыто,E2EKD01AA001XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
32,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Не закрыто,E2EKD01AA001XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
33,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Автоматический выключатель отключен,E2EKD01AA001XM01,сухой контакт,"220В, 50Гц",ПС,
34,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Не открыто,E2EKD01AA002XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
35,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Не закрыто,E2EKD01AA002XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
36,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Автоматический выключатель отключен,E2EKD01AA002XM01,сухой контакт,"220В, 50Гц",ПС,
37,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Не открыто,E2EKD02AA001XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
38,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Не закрыто,E2EKD02AA001XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
39,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Автоматический выключатель отключен,E2EKD02AA001XM01,сухой контакт,"220В, 50Гц",ПС,
40,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Не открыто,E2EKD02AA002XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
41,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Не закрыто,E2EKD02AA002XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
42,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Автоматический выключатель отключен,E2EKD02AA002XM01,сухой контакт,"220В, 50Гц",ПС,
43,Задвижка 2-17Г на байпасе,E2EKG02AA001,Не открыто,E2EKG02AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
44,Задвижка 2-17Г на байпасе,E2EKG02AA001,Не закрыто,E2EKG02AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
45,Задвижка 2-17Г на байпасе,E2EKG02AA001,Превышение момента на закрытие,E2EKG02AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
46,Задвижка 2-17Г на байпасе,E2EKG02AA001,Автоматический выключатель отключен,E2EKG02AA001XM01,сухой контакт,"220В, 50Гц",ПС,
47,,E2EKA01AA001,Не открыто,E2EKA01AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
48,,E2EKA01AA001,Не закрыто,E2EKA01AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
49,,E2EKA01AA001,Превышение момента на закрытие,E2EKA01AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
50,,E2EKA01AA001,Автоматический выключатель отключен,E2EKA01AA001XM01,сухой контакт,"220В, 50Гц",ПС,
51,Задвижка 2-19Г на выходе,E2EKG11AA001,Не открыто,E2EKG11AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
52,Задвижка 2-19Г на выходе,E2EKG11AA001,Не закрыто,E2EKG11AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
53,Задвижка 2-19Г на выходе,E2EKG11AA001,Превышение момента на закрытие,E2EKG11AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
54,Задвижка 2-19Г на выходе,E2EKG11AA001,Автоматический выключатель отключен,E2EKG11AA001XM01,сухой контакт,"220В, 50Гц",ПС,
55,Задвижка 4-ГД,E2EKG11AA002,Не открыто,E2EKG11AA002XB51,потенциальный контакт,"220В, 50Гц",ДУ,
56,Задвижка 4-ГД,E2EKG11AA002,Не закрыто,E2EKG11AA002XB52,потенциальный контакт,"220В, 50Гц",ДУ,
57,Задвижка 4-ГД,E2EKG11AA002,Превышение момента на закрытие,E2EKG11AA002XB06,потенциальный контакт,"220В, 50Гц",ДУ,
58,Задвижка 4-ГД,E2EKG11AA002,Автоматический выключатель отключен,E2EKG11AA002XM01,сухой контакт,"220В, 50Гц",ПС,
59,Дисковый затвор ГК-2,E2EKG12AA001,Открыто,E2EKG12AA001XB01,потенциальный контакт,"220В, 50Гц",ДУ,
60,Дисковый затвор ГК-2,E2EKG12AA001,Закрыто,E2EKG12AA001XB02,потенциальный контакт,"220В, 50Гц",ДУ,
61,Дисковый затвор ГК-2,E2EKG12AA001,Превышение момента,E2EKG12AA001XB04,потенциальный контакт,"220В, 50Гц",ДУ,
62,Дисковый затвор ГК-2,E2EKG12AA001,Готовность,E2EKG12AA001XB10,потенциальный контакт,"220В, 50Гц",ДУ,
63,Дисковый затвор ГК-2,E2EKG12AA001,Автоматический выключатель отключен,E2EKG12AA001XM01,сухой контакт,"220В, 50Гц",ПС,
64,Сигнализатор газов СТМ-10,E2UEN01CQ001,"Загазованность в ГРП, 1 порог",E1UEN01CQ001XG01,сухой контакт,"220В, 50Гц",ПС,
65,Сигнализатор газов СТМ-10,E2UEN01CQ001,"Загазованность в ГРП, 2 порог",E1UEN01CQ001XG03,сухой контакт,"220В, 50Гц",,
66,Пожарная сигнализация,E2CYE01CH001,Пожар,E2CYE01CH001XM01,сухой контакт,=24В,ПС,
67,Шкаф сборки задвижек,E2CDA01GH001,Неисправность,E2CDA01GH001XM01,сухой контакт,"220В, 50Гц",ПС,
68,Затвор со стороны,E2EKA02AA001,Не открыто,E2EKA02AA001XC02,потенциальный контакт,=24В,ДУ,
69,Затвор со стороны,E2EKA02AA001,Не закрыто,E2EKA02AA001XC01,потенциальный контакт,=24В,ДУ,
70,Затвор со стороны,E2EKA02AA001,Автоматический выключатель отключен,E2EKA02AA001XM01,сухой контакт,=24В,ПС,
71,Затвор со стороны,E2EKA02AA002,Не открыто,E2EKA02AA002XC02,потенциальный контакт,=24В,ДУ,
72,Затвор со стороны,E2EKA02AA002,Не закрыто,E2EKA02AA002XC01,потенциальный контакт,=24В,ДУ,
73,Затвор со стороны,E2EKA02AA002,Автоматический выключатель отключен,E2EKA02AA002XM01,сухой контакт,=24В,ПС,
74,Регулятор давления газа,E2EKA02AA801,Закрыто,E2EKD01AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
75,Регулятор давления газа,E2EKA02AA801,Открыто,E2EKD01AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
76,Регулятор давления газа,E2EKA02AA801,Автоматический выключатель отключен,E2EKD01AA801XM01,сухой контакт,=24В,ПС,
77,Задвижка ГК-3,F0EKG10AA001,Не открыто,F0EKG10AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
78,Задвижка ГК-3,F0EKG10AA001,Не закрыто,F0EKG10AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
79,Задвижка ГК-3,F0EKG10AA001,Превышение момента на открытие,F0EKG10AA001XB04,потенциальный контакт,"220В, 50Гц",ДУ,
80,Задвижка ГК-3,F0EKG10AA001,Превышение момента на закрытие,F0EKG10AA001XB05,потенциальный контакт,"220В, 50Гц",ДУ,
81,Задвижка ГК-3,F0EKG10AA001,Автоматический выключатель отключен,F0EKG10AA001XM01,сухой контакт,"220В, 50Гц",ПС,
82,Затвор дисковый на котлы №1-5,F0EKG10AA002,Не открыто,F0EKG10AA002XB51,потенциальный контакт,"220В, 50Гц",ДУ,
83,Затвор дисковый на котлы №1-5,F0EKG10AA002,Не закрыто,F0EKG10AA002XB52,потенциальный контакт,"220В, 50Гц",ДУ,
84,Затвор дисковый на котлы №1-5,F0EKG10AA002,Превышение момента на открытие,F0EKG10AA002XB04,потенциальный контакт,"220В, 50Гц",ДУ,
