,№ п/п,Наименование параметра,Параметры питания датчика,KKS-код параметра,Тип датчика,"Вид сигнала, градуировка, протокол",min,max,Ед. изм.,Примечание,Страница
0,1,Температура исходной воды,"=24В, 0,5ВА",F0GAA01CT001,ТПУ-205,"4-20мА, линейный",0,100,°C,,4
1,2,Давление исходной воды,"=24В, 0,5ВА",F0GAA01CP001,АИР-20/М2-H,"4-20мА, линейный",0,3,кгс/см²,,4
2,3,Давление исходной воды до сетчатого фильтра,"=24В, 0,5ВА",F0GAA01CP002,АИР-20/М2-H,"4-20мА, линейный",0,3,кгс/см²,,4
3,4,Давление исходной воды после сетчатого фильтра,"=24В, 0,5ВА",F0GAA01CP003,АИР-20/М2-H,"4-20мА, линейный",0,3,кгс/см²,,4
4,5,Давление сырой воды на всасе НСВ 1 (К5.1),-,F0GAF01CP001,АИР-20/М2-H,"4-20мА, линейный",-1,3,кгс/см²,,4
5,6,Давление сырой воды на напоре НСВ 1 (К5.1),-,F0GAF01CP002,АИР-20/М2-H,"4-20мА, линейный",0,8,кгс/см²,,4
6,7,Давление сырой воды на всасе НСВ 2 (К5.2),-,F0GAF02CP001,АИР-20/М2-H,"4-20мА, линейный",-1,3,кгс/см²,,4
7,8,Давление сырой воды на напоре НСВ 2 (К5.2),-,F0GAF02CP002,АИР-20/М2-H,"4-20мА, линейный",0,8,кгс/см²,,4
8,9,Давление исходной воды в трубопроводе байпаса насосов НСВ,"=24В, 0,5ВА",F0GAF03CP001,АИР-20/М2-H,"4-20мА, линейный",0,3,кгс/см²,,4
9,10,Давление исходной воды после насосов НСВ,"=24В, 0,5ВА",F0GAF10CP001,АИР-20/М2-H,"4-20мА, линейный",0,8,кгс/см²,,4
10,11,Положение ИМ регулирующего клапана на трубопроводе байпаса насосов НСВ РТ 1,-,F0GAF03CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",4
11,12,Температура подшипника №1 К5.1,-,F0GAF01CT101,,,0,150,°C,,4
12,13,Температура подшипника №2 К5.1,-,F0GAF01CT102,,,0,150,°C,,4
13,14,Ток электродвигателя К5.1,-,F0GAF01CE012,,"4-20мА, линейный",0,250,А,,4
14,15,Температура подшипника №1 К5.2,-,F0GAF02CT101,,,0,150,°C,,4
15,16,Температура подшипника №2 К5.2,-,F0GAF02CT102,,,0,150,°C,,5
16,17,Ток электродвигателя К5.2,-,F0GAF02CE012,,"4-20мА, линейный",0,250,А,,5
17,18,Выходная частота,-,F0CUB01CE015,ЧРП,"RS485, Modbus RTU",0,50,Гц,Шкаф ШУН,5
18,19,Температура воды аварийной подпитки,"=24В, 0,5ВА",F0GAD11CT001,ТПУ-205,"4-20мА, линейный",0,100,°C,,5
