,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
0,1,F0GAA01CT001,Температура исходной воды,,"4-20мА, линейный",0,100,°C,,
1,2,F0GAA01CP001,Давление исходной воды,,"4-20мА, линейный",0,3,кгс/см²,,
2,3,F0GAA01CP002,Давление исходной воды до сетчатого фильтра,,"4-20мА, линейный",0,3,кгс/см²,,
3,4,F0GAA01CP003,Давление исходной воды после сетчатого фильтра,,"4-20мА, линейный",0,3,кгс/см²,,
4,5,,Давление сырой воды на всасе НСВ-1 (К5.1),,F0GAF01CP001,,,,,
5,6,,Давление сырой воды на напоре НСВ-1 (К5.1),,F0GAF01CP002,,,,,
6,7,,Давление сырой воды на всасе НСВ-2 (К5.2),,F0GAF02CP001,,,,,
7,8,,Давление сырой воды на напоре НСВ-2 (К5.2),,F0GAF02CP002,,,,,
8,9,F0GAF03CP001,Давление исходной воды в трубопроводе байпаса насосов НСВ,,"4-20мА, линейный",0,3,кгс/см²,,
9,10,F0GAF10CP001,Давление исходной воды после насосов НСВ,,"4-20мА, линейный",0,8,кгс/см²,,
10,11,,Положение ИМ регулирующего клапана на трубопроводе байпаса насосов НСВ РТ-1,,F0GAF03CG801,,,,"АР,ДУ",
11,12,F0GAF01CT101,Температура подшипника №1 К5.1,,,,,,,
12,13,F0GAF01CT102,Температура подшипника №2 К5.1,,,,,,,
13,14,F0GAF01CE012,Ток электродвигателя К5.1,,"4-20мА, линейный",0,250,А,,
14,15,F0GAF02CT101,Температура подшипника №1 К5.2,,,,,,,
15,16,F0GAF02CT102,Температура подшипника №2 К5.2,,,,,,,
16,17,F0GAF02CE012,Ток электродвигателя К5.2,,"4-20мА, линейный",0,250,А,,
17,18,F0CUB01CE015,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
18,19,F0GAD11CT001,Температура воды аварийной подпитки,,"4-20мА, линейный",0,100,°C,,
19,20,F0GAD11CP001,Давление воды аварийной подпитки,,"4-20мА, линейный",0,8,кгс/см²,,
20,21,F0GAD11CF001,Расход воды аварийной подпитки,,"4-20мА, линейный",0,450,т/ч,,
21,22,,Положение ИМ регулятора производительности ХВО РД-3,,F0GAC01CG801,,,,"АР,ДУ",
22,23,,Положение ИМ регулятора температуры сырой воды РТ-4,,F0GAC01CG802,,,,"АР,ДУ",
23,24,F0GAC01CT101,Температура воды после подогревателя исходной воды К11,,,,,,,
24,25,F0GBJ01CG801,Положение ИМ регулятора температуры умягченной воды,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
25,26,F0GBJ01CT101,Температура умягченной воды после подогревателя К16,,,,,,,
26,27,,Расход воды на бак-газоотделитель,,F0GAD12CF001,,,,,
27,28,,Температура в баке-газоотделителе,,F0GAD13CT001,,,,,
28,29,F0GAD14CP001,Давление на всасе насоса рабочей воды К10.5.1,,"4-20мА, линейный",-1,1,кгс/см²,,
29,30,F0GAD14CP002,Давление на напоре насоса рабочей воды К10.5.1,,"4-20мА, линейный",0,6,кгс/см²,,
30,31,F0GAD15CP001,Давление на всасе насоса рабочей воды К10.5.2,,"4-20мА, линейный",-1,1,кгс/см²,,
31,32,F0GAD15CP002,Давление на напоре насоса рабочей воды К10.5.2,,"4-20мА, линейный",0,6,кгс/см²,,
32,33,,Уровень в баке-газоотделителе,,F0GAD13CL001,,,,,
