№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
1,N1NDB01AA001YB01,"Затвор дисковый Т-1 тепловывод ""A""",N1NDB01AA001,ДУ,
2,N1NDB01AA001YB02,"Затвор дисковый Т-1 тепловывод ""A""",N1NDB01AA001,ДУ,
3,N1NDB01AA001YB03,"Затвор дисковый Т-1 тепловывод ""A""",N1NDB01AA001,ДУ,н.з.контакт
4,N1NDB02AA001YB01,"Затвор дисковый Т-2 тепловывод ""B""",N1NDB02AA001,ДУ,
5,N1NDB02AA001YB02,"Затвор дисковый Т-2 тепловывод ""B""",N1NDB02AA001,ДУ,
6,N1NDB02AA001YB03,"Затвор дисковый Т-2 тепловывод ""B""",N1NDB02AA001,ДУ,н.з.контакт
7,N1NDB03AA001YB01,"Затвор дисковый Т-3 тепловывод ""C""",N1NDB03AA001,ДУ,
8,N1NDB03AA001YB02,"Затвор дисковый Т-3 тепловывод ""C""",N1NDB03AA001,ДУ,
9,N1NDB03AA001YB03,"Затвор дисковый Т-3 тепловывод ""C""",N1NDB03AA001,ДУ,н.з.контакт
10,N1NDB10AA001YB01,Затвор дисковый Т-4 на подаче сетевой воды в ГИГ,N1NDB10AA001,ДУ,
11,N1NDB10AA001YB02,Затвор дисковый Т-4 на подаче сетевой воды в ГИГ,N1NDB10AA001,ДУ,
12,N1NDB10AA001YB03,Затвор дисковый Т-4 на подаче сетевой воды в ГИГ,N1NDB10AA001,ДУ,н.з.контакт
13,N1NDB10AA002YB01,Затвор дисковый Т-5 на выходе сетевой воды из ГИГ,N1NDB10AA002,ДУ,
14,N1NDB10AA002YB02,Затвор дисковый Т-5 на выходе сетевой воды из ГИГ,N1NDB10AA002,ДУ,
15,N1NDB10AA002YB03,Затвор дисковый Т-5 на выходе сетевой воды из ГИГ,N1NDB10AA002,ДУ,н.з.контакт
16,N1NDB10AA003YB01,Затвор дисковый Т-6 на трубопроводе помимо ГИГ,N1NDB10AA003,ДУ,
17,N1NDB10AA003YB02,Затвор дисковый Т-6 на трубопроводе помимо ГИГ,N1NDB10AA003,ДУ,
18,N1NDB10AA003YB03,Затвор дисковый Т-6 на трубопроводе помимо ГИГ,N1NDB10AA003,ДУ,н.з.контакт
19,N1NDB10AA004YB01,Затвор дисковый Т-7 на,теплообменников по сетевой воде,ДУ,
20,N1NDB10AA004YB02,Затвор дисковый Т-7 на,теплообменников по сетевой воде,ДУ,
21,N1NDB10AA004YB03,Затвор дисковый Т-7 на,теплообменников по сетевой воде,ДУ,н.з.контакт
22,N1NDK10AA801YC01,Регулирующий клапан РД-80 на линии подпитки теплосети,N1NDK10AA801,,
