№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
1,N1NDB01AA001XB51,"Затвор дисковый Т-1 тепловывод ""A""",Не открыто,ДУ,
2,N1NDB01AA001XB52,"Затвор дисковый Т-1 тепловывод ""A""",Не закрыто,ДУ,
3,N1NDB01AA001XB05,"Затвор дисковый Т-1 тепловывод ""A""",превышение момента на открытие,ДУ,
4,N1NDB01AA001XB06,"Затвор дисковый Т-1 тепловывод ""A""",превышение момента на закрытие,ДУ,
5,N1NDB01AA001XL01,"Затвор дисковый Т-1 тепловывод ""A""",Дистанционный режим работы,ДУ,
6,N1NDB01AA001XM01,"Затвор дисковый Т-1 тепловывод ""A""",Автоматический выключатель,ПС,
7,N1NDB02AA001XB51,"Затвор дисковый Т-2 тепловывод ""B""",Не открыто,ДУ,
8,N1NDB02AA001XB52,"Затвор дисковый Т-2 тепловывод ""B""",Не закрыто,ДУ,
9,N1NDB02AA001XB05,"Затвор дисковый Т-2 тепловывод ""B""",превышение момента на открытие,ДУ,
10,N1NDB02AA001XB06,"Затвор дисковый Т-2 тепловывод ""B""",превышение момента на закрытие,ДУ,
11,N1NDB02AA001XL01,"Затвор дисковый Т-2 тепловывод ""B""",Дистанционный режим работы,ДУ,
12,N1NDB02AA001XM01,"Затвор дисковый Т-2 тепловывод ""B""",Автоматический выключатель,ПС,
13,N1NDB03AA001XB51,"Затвор дисковый Т-3 тепловывод ""C""",Не открыто,ДУ,
14,N1NDB03AA001XB52,"Затвор дисковый Т-3 тепловывод ""C""",Не закрыто,ДУ,
15,N1NDB03AA001XB05,"Затвор дисковый Т-3 тепловывод ""C""",превышение момента на открытие,ДУ,
16,N1NDB03AA001XB06,"Затвор дисковый Т-3 тепловывод ""C""",превышение момента на закрытие,ДУ,
17,N1NDB03AA001XL01,"Затвор дисковый Т-3 тепловывод ""C""",Дистанционный режим работы,ДУ,
18,N1NDB03AA001XM01,"Затвор дисковый Т-3 тепловывод ""C""",Автоматический выключатель,ПС,
19,N1NDB10AA001XB51,Затвор дисковый Т-4 на подаче,Не открыто,ДУ,
20,N1NDB10AA001XB52,Затвор дисковый Т-4 на подаче,Не закрыто,ДУ,
21,N1NDB10AA001XB05,Затвор дисковый Т-4 на подаче,превышение момента на открытие,ДУ,
22,N1NDB10AA001XB06,Затвор дисковый Т-4 на подаче,превышение момента на закрытие,ДУ,
