№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
1,N2NDE10AA001YB01,Задвижка 12ПТА,Открыть,ДУ,
2,N2NDE10AA001YB02,Задвижка 12ПТА,Закрыть,ДУ,
3,N2NDE10AA001YB03,Задвижка 12ПТА,Стоп,ДУ,н.з.контакт
4,N2NDE10AA801YC01,Регулирующий клапан РД1,Больше,,
5,N2NDE10AA801YC02,Регулирующий клапан РД1,Меньше,,
6,N2NDE20AA001YB01,Задвижка 11ПТА,Открыть,ДУ,
7,N2NDE20AA001YB02,Задвижка 11ПТА,Закрыть,ДУ,
8,N2NDE20AA001YB03,Задвижка 11ПТА,Стоп,ДУ,н.з.контакт
9,N2NDE20AA002YB01,Задвижка 3ПТА,Открыть,ДУ,
10,N2NDE20AA002YB02,Задвижка 3ПТА,Закрыть,ДУ,
11,N2NDE20AA002YB03,Задвижка 3ПТА,Стоп,ДУ,н.з.контакт
12,N2NDE20AA801YC01,Регулирующий клапан РД0,Больше,ДУ,
13,N2NDE20AA801YC02,Регулирующий клапан РД0,Меньше,ДУ,
14,N2NDE11AA001YB01,Задвижка 9ПТА-1,Открыть,ДУ,
15,N2NDE11AA001YB02,Задвижка 9ПТА-1,Закрыть,ДУ,
16,N2NDE11AA001YB03,Задвижка 9ПТА-1,Стоп,ДУ,н.з.контакт
17,N2NDE11AA002YB01,Задвижка 10ПТА-1,Открыть,ДУ,
18,N2NDE11AA002YB02,Задвижка 10ПТА-1,Закрыть,ДУ,
19,N2NDE11AA002YB03,Задвижка 10ПТА-1,Стоп,ДУ,н.з.контакт
20,N2NDE12AA001YB01,Задвижка 9ПТА-2,Открыть,ДУ,
21,N2NDE12AA001YB02,Задвижка 9ПТА-2,Закрыть,ДУ,
22,N2NDE12AA001YB03,Задвижка 9ПТА-2,Стоп,ДУ,н.з.контакт
23,N2NDE12AA002YB01,Задвижка 10ПТА-2,Открыть,ДУ,
24,N2NDE12AA002YB02,Задвижка 10ПТА-2,Закрыть,ДУ,
25,N2NDE12AA002YB03,Задвижка 10ПТА-2,Стоп,ДУ,н.з.контакт
26,N2NDE01AA001YB01,Шаровый кран 4ПТА-1 на всасе насоса,Открыть,ДУ,
27,N2NDE01AA001YB02,Шаровый кран 4ПТА-1 на всасе насоса,Закрыть,ДУ,
28,N2NDE01AA001YB03,Шаровый кран 4ПТА-1 на всасе насоса,Стоп,ДУ,н.з.контакт
29,N2NDE01AA002YB01,Шаровый кран 5ПТА-1 на напоре насоса,Открыть,,
30,N2NDE01AA002YB02,Шаровый кран 5ПТА-1 на напоре насоса,Закрыть,,
31,N2NDE01AA002YB03,Шаровый кран 5ПТА-1 на напоре насоса,Стоп,,н.з.контакт
32,N2NDE01CP001ZM52,Давление на всасе НАБ-1,норма,,
33,N2NDE01CP002ZM04,Давление на напоре НАБ-1,низко,АВР,
34,N2NDE01AA002ZB02,Шаровый кран 5ПТА-1 на напоре насоса,закрыт,,
35,N2NDE02AA001YB01,Шаровый кран 4ПТА-2 на всасе насоса,Открыть,ДУ,
36,N2NDE02AA001YB02,Шаровый кран 4ПТА-2 на всасе насоса,Закрыть,ДУ,
37,N2NDE02AA001YB03,Шаровый кран 4ПТА-2 на всасе насоса,Стоп,ДУ,н.з.контакт
38,N2NDE02AA002YB01,Шаровый кран 5ПТА-2 на напоре насоса,Открыть,,
39,N2NDE02AA002YB02,Шаровый кран 5ПТА-2 на напоре насоса,Закрыть,,
40,N2NDE02AA002YB03,Шаровый кран 5ПТА-2 на напоре насоса,Стоп,,н.з.контакт
41,N2NDE02CP001ZM52,Давление на всасе НАБ-2,норма,,
42,N2NDE02CP002ZM04,Давление на напоре НАБ-2,низко,АВР,
43,N2NDE02AA002ZB02,Шаровый кран 5ПТА-2 на напоре насоса,закрыт,,
44,N2NDE03AA001YB01,Шаровый кран 4ПТА-3 на всасе насоса,Открыть,ДУ,
45,N2NDE03AA001YB02,Шаровый кран 4ПТА-3 на всасе насоса,Закрыть,ДУ,
46,N2NDE03AA001YB03,Шаровый кран 4ПТА-3 на всасе насоса,Стоп,ДУ,н.з.контакт
47,N2NDE03AA002YB01,Шаровый кран 5ПТА-3 на напоре насоса,Открыть,,
48,N2NDE03AA002YB02,Шаровый кран 5ПТА-3 на напоре насоса,Закрыть,,
49,N2NDE03AA002YB03,Шаровый кран 5ПТА-3 на напоре насоса,Стоп,,н.з.контакт
50,N2NDE03CP001ZM52,Давление на всасе НАБ-3,норма,,
51,N2NDE03CP002ZM04,Давление на напоре НАБ-3,низко,АВР,
52,N2NDE03AA002ZB02,Шаровый кран 5ПТА-3 на напоре насоса,закрыт,,
53,N2NDE04AA001YB01,Шаровый кран 4ПТА-4 на всасе насоса,Открыть,ДУ,
54,N2NDE04AA001YB02,Шаровый кран 4ПТА-4 на всасе насоса,Закрыть,ДУ,
55,N2NDE04AA001YB03,Шаровый кран 4ПТА-4 на всасе насоса,Стоп,ДУ,н.з.контакт
56,N2NDE04AA002YB01,Шаровый кран 5ПТА-4 на напоре насоса,Открыть,,
57,N2NDE04AA002YB02,Шаровый кран 5ПТА-4 на напоре насоса,Закрыть,,
58,N2NDE04AA002YB03,Шаровый кран 5ПТА-4 на напоре насоса,Стоп,,н.з.контакт
59,N2NDE04CP001ZM52,Давление на всасе НАБ-4,норма,,
60,N2NDE04CP002ZM04,Давление на напоре НАБ-4,низко,АВР,
61,N2NDE04AA002ZB02,Шаровый кран 5ПТА-4 на напоре насоса,закрыт,,
